Total GPM, Controllers , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1111.550, A-D161, A-D149, A-D211, A-D195,B-D231, B-D77, B-D38, B-D23, B-D404, B-D60, B-D58, B-D32, B-D425, B-D54, B-D48, B-D46, B-D405,C-D138, C-D94, C-D78, C-D69, C-D27, C-D85, C-D02, C-D143, C-D135, C-D114, C-D86, C-D84, C-D07, C-D05, C-D443,D-D356, D-D335,E-D253, E-D246, E-D259, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 30.750, 30.870, 29.600, 29.600,30.900, 30.600, 30.100, 30.400, 29.300, 29.300, 30.000, 29.500, 29.100, 28.500, 28.100, 28.200, 28.500,31.600, 32.000, 31.600, 31.800, 31.900, 30.600, 30.400, 29.500, 29.200, 29.200, 29.900, 30.000, 29.600, 29.400, 29.800,30.700, 29.290,30.900, 30.840, 30.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
802.190, A-D185, A-D213, A-D194, A-D186, A-D212, A-D171, A-D162,B-D117, B-D233, B-D120, B-D37,D-D371, D-D360,E-D289, E-D262, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 53.290, 52.010, 52.150, 51.210, 50.550, 50.990, 50.690,64.800, 56.400, 50.600, 50.210,54.900, 50.890,59.100, 54.400, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1097.250, A-B78, A-B69, A-B58, A-B155, A-B73, A-B71, A-B152, A-B87, A-B154, A-B68, A-B59, A-B57, A-B54, A-B61, A-B60, A-B56, A-B74, A-B51, A-B50,B-B117, B-B158, B-B147, B-B114, B-B145, B-B115, B-B79, B-B118, B-B116,C-B137, C-B106, C-B102, C-B131, C-B97, C-B136, C-B134, C-B112, C-B108, C-B107, C-B159, C-B110, C-B109, C-B133, C-B103, C-B100, C-B101, C-B132,D-B34, D-B28, D-B26, D-B157, D-B35, D-B29, D-B27, D-B161, D-B162,E-B08, E-B07, E-B05, E-B21, E-B16, E-B13, E-B12, E-B01, E-B49, E-B22, E-B04, E-B03, E-B15, E-B06
, 19.500, 19.500, 18.750, 17.250, 17.250, 18.000, 16.500, 16.500, 15.750, 14.250, 14.250, 15.000, 14.250, 13.500, 12.750, 12.000, 10.500, 9.750, 9.000,18.750, 17.250, 17.250, 18.000, 15.000, 15.000, 15.000, 13.500, 12.750,19.500, 19.500, 19.500, 18.750, 18.750, 17.250, 18.000, 18.000, 18.000, 17.250, 16.500, 16.500, 15.750, 14.250, 15.000, 14.250, 10.500, 6.750,19.500, 19.500, 17.250, 16.500, 16.500, 14.250, 14.250, 10.000, 8.750,19.500, 19.500, 19.500, 18.750, 18.500, 19.000, 18.750, 18.750, 16.500, 16.500, 16.500, 15.750, 12.750, 9.750
1102.250, A-B153, A-B86, A-B85, A-B65, A-B84, A-B82, A-B81, A-B53, A-B80,B-B140, B-B123, B-B91, B-B120, B-B19, B-B119, B-B148, B-B146, B-B142, B-B141, B-B138, B-B149, B-B113,C-B90, C-B111, C-B99, C-B105, C-B135, C-B104, C-B93,D-B37, D-B36, D-B41, D-B23, D-B38, D-B25, D-B39, D-B24,E-B45, E-B42, E-B48, E-B46, E-B18, E-B14, E-B160, E-B156, E-B47, E-B44, E-B43, E-B10, E-B02, , , , , , , , , , , , , , , , , , , 
, 24.750, 24.750, 23.250, 23.250, 22.500, 20.250, 20.250, 21.000, 20.000,24.750, 24.750, 25.000, 23.250, 23.250, 22.500, 20.250, 21.000, 21.000, 20.250, 21.000, 19.500, 19.500,25.000, 24.000, 22.500, 21.750, 21.000, 20.250, 20.250,25.500, 24.750, 24.000, 23.250, 22.500, 21.750, 21.000, 21.000,24.000, 24.000, 21.750, 21.750, 21.250, 21.750, 21.000, 20.250, 20.250, 20.250, 21.000, 20.250, 20.250, , , , , , , , , , , , , , , , , , , 
1104.250, A-B76, A-B63, A-B72, A-B66, A-B70, A-B67, A-B89, A-B55, A-B83, A-B95, A-B62,B-B130, B-B122, B-B151, B-B124, B-B126, B-B125, B-B150, B-B139, B-B128, B-B144, B-B143, B-B121,C-B92, C-B98, C-B96, C-B77, C-B94,D-B31, D-B32, D-B40, D-B30,E-B17, E-B09, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 40.000, 36.250, 35.500, 33.000, 31.500, 30.250, 29.000, 27.750, 27.000, 25.500, 25.250,37.750, 37.500, 33.750, 33.750, 32.250, 32.250, 31.500, 31.500, 31.750, 29.250, 28.500, 25.500,39.000, 37.500, 37.250, 37.250, 35.250,32.250, 31.000, 27.000, 27.000,39.500, 35.000, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
410.000, A-B64, A-B88, A-B75,B-B127, B-B129,C-B52,D-B33,E-B20, E-B11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, 53.000, 46.250, 42.000,47.750, 45.500,43.500,40.750,46.000, 45.250, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1157.490, A-S20, A-S29, A-S21, A-S31, A-S30, A-S22, A-S28, A-S27, A-S25, A-S26, A-S23, A-S24,B-S10, B-S11, B-S02, B-S01, B-S09, B-S06, B-S08, B-S04,C-S19, C-S12, C-S18, C-S17, C-S16, C-S14, C-S13, C-S32, C-S15,D-S50, D-S49, D-S55, D-S53, D-S46, D-S57, D-S51, D-S47, D-S48, D-S54,E-S40, E-S42, E-S41, E-S39, E-S38, E-S33, E-S37, E-S45, E-S34, E-S44, , , , , , , , , , , , , , , , , , , , 
, 33.750, 29.150, 24.120, 21.260, 19.630, 18.280, 17.600, 17.860, 17.380, 15.730, 10.060, 8.930,38.320, 33.830, 29.050, 27.170, 26.900, 23.840, 21.990, 17.030,39.060, 20.120, 17.450, 16.150, 12.740, 12.830, 11.010, 10.100, 8.880,38.320, 34.670, 26.950, 26.290, 22.980, 20.870, 20.270, 20.140, 19.060, 18.140,39.560, 35.440, 31.010, 29.890, 28.250, 22.400, 21.530, 16.850, 42.140, 42.510, , , , , , , , , , , , , , , , , , , , 
379.240, ,B-S03, B-S05, B-S07,D-S56, D-S52,E-S43, E-S36, E-S35, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
, ,51.540, 47.630, 43.450,48.890, 44.470,48.340, 47.630, 47.290, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
